customer_id,customer_name,age,city
1,Priyansh Karnik,30,Ahmedabad
2,Elakshi Kalla,23,Delhi
3,Shamik Dayal,29,Hyderabad
4,Parinaaz Badami,38,Delhi
5,Anahita Brar,55,Ahmedabad
6,Priyansh Kothari,36,Ahmedabad
7,Khushi Majumdar,31,Bangalore
8,Raunak Setty,33,Pune
9,Biju Sama,39,Pune
10,Farhan Lall,41,Delhi
11,Biju Ghose,40,Chennai
12,Shlok Bali,56,Hyderabad
13,Dhanush Dara,44,Chennai
14,Oorja Bedi,30,Hyderabad
15,Rati Dugar,16,Mumbai
16,Eva Sethi,40,Bangalore
17,Vritika Ganesh,22,Mumbai
18,Zoya Sani,24,Ahmedabad
19,Bhamini Sem,39,Ahmedabad
20,Pihu Doshi,16,Chennai
21,Tushar Mani,59,Bangalore
22,Kiara Chauhan,23,Mumbai
23,Sara Kashyap,39,Ahmedabad
24,Kiaan Bawa,26,Ahmedabad
25,Amira Sagar,32,Mumbai
26,Uthkarsh Keer,23,Hyderabad
27,Sahil Edwin,50,Mumbai
28,Nirvaan Keer,50,Chennai
29,Saksham Ghosh,48,Chennai
30,Himmat Karpe,20,Mumbai
31,Farhan Jani,57,Hyderabad
32,Jayan Dugal,54,Hyderabad
33,Inaaya  Deshmukh,56,Delhi
34,Nirvaan Rana,43,Ahmedabad
35,Rhea Bali,22,Bangalore
36,Anika Ranganathan,24,Delhi
37,Tara Dua,23,Hyderabad
38,Dharmajan Cherian,27,Chennai
39,Hrishita Dugal,49,Delhi
40,Farhan Thaman,48,Bangalore
41,Armaan Acharya,38,Ahmedabad
42,Divit Mammen,39,Pune
43,Ela Goswami,52,Hyderabad
44,Yashvi D’Alia,50,Hyderabad
45,Dhanuk Rama,59,Mumbai
46,Arhaan Sridhar,55,Delhi
47,Dishani Goel,37,Bangalore
48,Purab Toor,42,Pune
49,Bhavin Seshadri,50,Delhi
50,Kanav Sane,16,Delhi
51,Drishya Chada,50,Mumbai
52,Tanya Khurana,52,Pune
53,Tiya Choudhary,29,Delhi
54,Ivana Gopal,18,Ahmedabad
55,Samar Datta,16,Ahmedabad
56,Zaina Wadhwa,20,Mumbai
57,Kartik Mandal,41,Delhi
58,Manjari Biswas,29,Pune
59,Dhanush Reddy,54,Delhi
60,Heer Cherian,42,Mumbai
61,Alisha Borde,24,Ahmedabad
62,Neelofar Raval,30,Hyderabad
63,Pihu Viswanathan,30,Hyderabad
64,Nitya Lala,41,Chennai
65,Divit Dixit,57,Chennai
66,Jayant Choudhury,28,Delhi
67,Dhruv Kalita,47,Mumbai
68,Samar Gupta,54,Hyderabad
69,Romil Dugar,47,Bangalore
70,Mishti Char,19,Hyderabad
71,Pihu Madan,45,Chennai
72,Vedika Banik,52,Pune
73,Rania Venkataraman,38,Ahmedabad
74,Tarini Deep,54,Mumbai
75,Hunar Grover,30,Bangalore
76,Kashvi Gulati,58,Bangalore
77,Aniruddh Srinivasan,44,Ahmedabad
78,Mehul Bassi,51,Delhi
79,Darshit Handa,28,Delhi
80,Nayantara Iyer,47,Hyderabad
81,Mamooty Venkataraman,22,Bangalore
82,Samarth Dugal,37,Delhi
83,Saanvi Bumb,43,Delhi
84,Anaya Sharma,17,Ahmedabad
85,Jayan Choudhry,57,Hyderabad
86,Gatik Tara,21,Ahmedabad
87,Aayush Sankar,43,Hyderabad
88,Vedika Balay,43,Mumbai
89,Purab Lall,59,Ahmedabad
90,Neysa Goda,59,Chennai
91,Samiha Wadhwa,35,Ahmedabad
92,Hansh Borah,45,Ahmedabad
93,Ahana  Soni,26,Chennai
94,Kavya Gupta,43,Delhi
95,Shlok Batra,40,Hyderabad
96,Piya Kurian,54,Delhi
97,Devansh Virk,48,Bangalore
98,Vardaniya Rege,16,Mumbai
99,Mannat Sarraf,42,Bangalore
100,Indranil Sodhi,28,Ahmedabad
101,Charvi Chand,56,Delhi
102,Parinaaz Bahri,18,Chennai
103,Indranil Dani,54,Hyderabad
104,Inaaya  Dani,21,Bangalore
105,Zaina Choudhry,23,Ahmedabad
106,Indranil Kant,42,Ahmedabad
107,Drishya Dubey,24,Hyderabad
108,Oorja Bail,52,Chennai
109,Pihu Sood,48,Delhi
110,Aaryahi Kata,57,Bangalore
111,Parinaaz Bala,59,Ahmedabad
112,Nakul Swamy,39,Pune
113,Anvi Bhardwaj,30,Hyderabad
114,Kaira Sem,47,Chennai
115,Azad Desai,47,Mumbai
116,Ela Bose,39,Pune
117,Zara Saini,56,Hyderabad
118,Amira Chhabra,27,Chennai
119,Kiaan Rajan,54,Delhi
120,Jayesh Saha,17,Ahmedabad
121,Anay Raj,18,Mumbai
122,Jivin Chakrabarti,52,Delhi
123,Yasmin Sarna,32,Pune
124,Kismat Gill,17,Pune
125,Parinaaz Bala,17,Delhi
126,Dharmajan Chaudhari,43,Mumbai
127,Tiya Venkatesh,38,Ahmedabad
128,Yuvaan Hayer,52,Delhi
129,Priyansh Balan,47,Pune
130,Pihu Comar,48,Pune
131,Baiju Rout,16,Bangalore
132,Hansh Krishnamurthy,34,Pune
133,Neelofar Bhatti,17,Hyderabad
134,Miraya Bora,59,Ahmedabad
135,Zain Bawa,41,Delhi
136,Vedika Chawla,47,Chennai
137,Raghav Lanka,21,Delhi
138,Inaaya  Bera,47,Bangalore
139,Pihu Bhatt,19,Pune
140,Dharmajan Bath,26,Bangalore
141,Zaina Gupta,32,Bangalore
142,Jivin Barad,53,Chennai
143,Shray Kala,39,Mumbai
144,Ela Ramesh,20,Hyderabad
145,Misha Banik,49,Ahmedabad
146,Oorja Doshi,21,Ahmedabad
147,Samar Iyer,37,Mumbai
148,Myra Mallick,26,Delhi
149,Darshit Kannan,31,Delhi
150,Yashvi Behl,48,Ahmedabad
151,Hansh Rao,24,Ahmedabad
152,Nirvi Talwar,21,Ahmedabad
153,Misha Chanda,31,Bangalore
154,Siya Krishnamurthy,44,Delhi
155,Akarsh Din,18,Chennai
156,Onkar Gulati,35,Pune
157,Kimaya Sidhu,51,Pune
158,Hrishita Tata,34,Ahmedabad
159,Ahana  Dayal,41,Pune
160,Pari Sabharwal,18,Mumbai
161,Renee Gole,34,Chennai
162,Indranil Bose,35,Bangalore
163,Jayan Bora,47,Pune
164,Badal Gandhi,22,Ahmedabad
165,Kanav Kanda,56,Mumbai
166,Vihaan Dhar,48,Mumbai
167,Nirvaan Bath,55,Mumbai
168,Tara Chatterjee,54,Hyderabad
169,Seher Rao,33,Delhi
170,Abram Sur,55,Pune
171,Hazel Goyal,16,Chennai
172,Indrans Grover,26,Delhi
173,Pari Sahota,43,Pune
174,Farhan Sundaram,40,Delhi
175,Inaaya  Sura,38,Hyderabad
176,Sana Luthra,46,Ahmedabad
177,Hridaan Bajaj,45,Chennai
178,Miraya Dora,57,Mumbai
179,Taran Sunder,50,Bangalore
180,Saanvi Tak,22,Delhi
181,Manjari Suri,31,Mumbai
182,Alisha Majumdar,41,Chennai
183,Kashvi Butala,17,Pune
184,Abram Contractor,16,Delhi
185,Gokul Sagar,27,Chennai
186,Rhea Toor,20,Hyderabad
187,Indrajit Dara,52,Bangalore
188,Zoya Khosla,47,Mumbai
189,Trisha Suri,24,Mumbai
190,Riaan Upadhyay,56,Ahmedabad
191,Priyansh Ramanathan,50,Ahmedabad
192,Shlok Goswami,34,Hyderabad
193,Ayesha Krishnamurthy,31,Chennai
194,Lagan Walla,18,Pune
195,Farhan Subramanian,35,Delhi
196,Mahika Mahal,39,Mumbai
197,Vedika Rajagopal,48,Bangalore
198,Ehsaan Jain,39,Ahmedabad
199,Nirvi Bera,26,Chennai
200,Sara Tandon,23,Ahmedabad
201,Biju Bedi,51,Ahmedabad
202,Suhana Bhatti,53,Delhi
203,Eva Gola,55,Delhi
204,Farhan Bandi,35,Mumbai
205,Urvi Bumb,50,Chennai
206,Jivika Chander,40,Ahmedabad
207,Nitara Kurian,50,Bangalore
208,Damini Kade,40,Pune
209,Yasmin Kamdar,44,Delhi
210,Akarsh Gokhale,33,Ahmedabad
211,Tiya Johal,33,Ahmedabad
212,Badal Dada,17,Ahmedabad
213,Anika Gala,50,Chennai
214,Madhav Bath,31,Ahmedabad
215,Ira Bava,56,Mumbai
216,Arhaan Varkey,51,Chennai
217,Piya De,48,Bangalore
218,Yasmin Bahri,19,Ahmedabad
219,Saira Choudhury,48,Chennai
220,Yashvi Bajaj,29,Ahmedabad
221,Mannat Dhingra,36,Chennai
222,Jivin Kara,35,Delhi
223,Advik Das,23,Chennai
224,Charvi Gade,22,Mumbai
225,Eshani Kara,18,Ahmedabad
226,Dishani Chacko,32,Ahmedabad
227,Onkar Raman,48,Delhi
228,Shaan Khosla,27,Chennai
229,Indranil Sachar,37,Hyderabad
230,Neelofar Borde,37,Bangalore
231,Shaan Rao,45,Chennai
232,Nehmat Ahuja,53,Delhi
233,Neelofar Balakrishnan,53,Mumbai
234,Shray Soman,23,Delhi
235,Shray Sagar,42,Bangalore
236,Nishith Chaudhuri,42,Ahmedabad
237,Ojas Mangal,49,Ahmedabad
238,Shray Kala,36,Delhi
239,Lagan De,45,Pune
240,Renee Yohannan,48,Bangalore
241,Mishti Choudhury,43,Ahmedabad
242,Navya Bhat,48,Hyderabad
243,Lakshit Atwal,20,Ahmedabad
244,Saanvi Jaggi,34,Mumbai
245,Jayant Srinivas,19,Ahmedabad
246,Manjari Doshi,50,Delhi
247,Lagan Rajagopalan,32,Ahmedabad
248,Tara Datta,59,Delhi
249,Darshit Kumer,43,Mumbai
250,Parinaaz Deo,45,Hyderabad
251,Tejas Shere,44,Chennai
252,Nakul Malhotra,21,Bangalore
253,Riaan Uppal,50,Pune
254,Sara Goswami,56,Hyderabad
255,Nirvi Kumer,52,Bangalore
256,Shaan Doctor,39,Pune
257,Samar Ravel,44,Delhi
258,Manikya Salvi,46,Pune
259,Aaryahi Jaggi,50,Mumbai
260,Renee Salvi,48,Ahmedabad
261,Priyansh Johal,36,Hyderabad
262,Aradhya Bal,47,Chennai
263,Krish Bora,38,Chennai
264,Nehmat Buch,48,Pune
265,Siya Amble,18,Bangalore
266,Vanya Tripathi,33,Mumbai
267,Saanvi Basu,40,Pune
268,Advik Chander,57,Bangalore
269,Nehmat Handa,46,Bangalore
270,Dhanuk Bera,18,Chennai
271,Vidur Saran,55,Chennai
272,Kiaan Shan,39,Bangalore
273,Advika D’Alia,47,Bangalore
274,Azad Bahri,37,Bangalore
275,Rania Keer,38,Bangalore
276,Jhanvi Bhalla,17,Bangalore
277,Jiya Atwal,42,Mumbai
278,Aarav Basak,57,Bangalore
279,Neysa Bhat,17,Ahmedabad
280,Bhamini Saran,41,Pune
281,Samarth Gera,32,Ahmedabad
282,Hiran Batta,55,Pune
283,Aayush Gole,48,Bangalore
284,Prisha Wali,24,Hyderabad
285,Kanav Ratta,58,Mumbai
